Netflix Title,IMDb Title,Similarity Score
Naruto Shippûden the Movie: The Will of Fire,Naruto Shippuden the Movie: The Will of Fire,98
Naruto Shippuden: The Movie,Naruto Shippuden the Movie,98
Naruto Shippuden: The Movie: The Lost Tower,Naruto Shippuden the Movie: The Lost Tower,99
Naruto the Movie 2: Legend of the Stone of Gelel,Naruto the Movie: Legend of the Stone of Gelel,98
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Naruto the Movie: Guardians of the Crescent Moon Kingdom,98
Love Don't Cost a Thing,Love Don't Co$t a Thing,96
The Nutty Professor II: The Klumps,Nutty Professor II: The Klumps,94
He's All That,She's All That,96
The Water Man,The Weather Man,93
The Defeated,The Undefeated,92
The Kissing Booth 3,The Kissing Booth 2,95
Boyka: Undisputed,Boyka: Undisputed IV,92
Sexy Beasts,Sexy Beast,95
The Twilight Saga: Breaking Dawn: Part 1,The Twilight Saga: Breaking Dawn - Part 1,99
The Twilight Saga: Breaking Dawn: Part 2,The Twilight Saga: Breaking Dawn - Part 2,99
Three Thieves,The Thieves,92
Life as We Know It,Life As We Know It,100
Pet Sematary 2,Pet Sematary,92
Into the Wind,Into the Wild,92
Wonder Boy,Wonder Boys,95
99 Songs,9 Songs,93
Army of the Dead,Diary of the Dead,91
Strain,Train,91
Fun with Dick & Jane,Fun with Dick and Jane,90
The Innocent,The Innocents,96
G.O.R.A,G.O.R.A.,100
GANTZ:O,Gantz:O,100
Skylines,Skyline,93
The Sinner,The Dinner,90
Finding ‘Ohana,Finding Ohana,96
So My Grandma’s a Lesbian!,So My Grandma's a Lesbian!,100
An Imperfect Murder,A Perfect Murder,91
Eddie Murphy: Raw,Eddie Murphy Raw,97
U-Turn,U Turn,100
The Beast,The East,94
The Crown,The Crow,94
Paranormal,ParaNorman,90
MOTHER,mother!,100
Metallica Through The Never,Metallica: Through the Never,98
Fisherman's Friends,Fisherman’s Friends,100
Whispers,Whisper,93
The Devil All The Time,The Devil All the Time,100
#Alive,Alive,100
Villain,Villains,93
The Rain,The Train,94
The Players,The Player,95
Desperados,Desperado,95
Underdogs,Underdog,94
The Other,The Others,95
Dilan 1990,Dilan 1991,90
The Dealer,The Healer,90
After Life,After.Life,100
Love Wedding Repeat,Love. Wedding. Repeat,95
7SEEDS,Seeds,91
Baby Mamas,Baby Mama,95
Twin Murders: the Silence of the White City,Twin Murders: The Silence of the White City,100
All The Bright Places,All the Bright Places,100
MR. RIGHT,Mr. Right,100
Dragon Quest Your Story,Dragon Quest: Your Story,98
Fronteras,Frontera,94
37 Seconds,7 Seconds,95
THE STRANGER,The Strangers,96
A Fall from Grace,A Fall From Grace,100
Eye For An Eye,Eye for an Eye,100
All the Freckles in the World,All The Freckles In The World,100
Mia and Me,Mac and Me,90
Pokémon the Movie: Power of Us,Pokémon the Movie: The Power of Us,94
The Witcher,The Witches,91
Nothing to Lose 2,Nothing to Lose,94
Chocolate,Chocolat,94
Iron Sky: The Coming Race,Iron Sky The Coming Race,98
The Yard,The Yards,94
Westside Story,West Side Story,97
The Lovers,The Lover,95
Undercover Brother 2,Undercover Brother,95
Master Z: The Ip Man Legacy,Master Z: Ip Man Legacy,92
The I-Land,The Island,90
Invader Zim: Enter the Florpus,Invader ZIM: Enter the Florpus,100
MINDHUNTER,Mindhunters,95
Selfless,Self/less,94
Bad Guys,Bad Guy,93
Girls With Balls,Girls with Balls,100
What If?,What If,100
Knock Down The House,Knock Down the House,100
HOMECOMING: A film by Beyoncé,Homecoming: A Film by Beyoncé,100
Generation Iron 3,Generation Iron,94
Traitors,Traitor,93
A Love Story,Love Story,91
Losers,Loser,91
Beauty and the Bestie,Beauty and the Beast,93
The Photographer Of Mauthausen,The Photographer of Mauthausen,100
Sparta,Spartan,92
Taylor Swift reputation Stadium Tour,Taylor Swift: Reputation Stadium Tour,99
Dragons: Dawn of the Dragon Racers,Dragons: Dawn Of The Dragon Racers,100
ROMA,Roma,100
Tidelands,Tideland,94
Haunted House,A Haunted House,93
They’ll Love Me When I’m Dead,They'll Love Me When I'm Dead,100
Scorpion King 5: Book of Souls,The Scorpion King: Book of Souls,90
22 July,22-Jul,92
Happy Go Lucky,Happy-Go-Lucky,100
Sierra Burgess Is A Loser,Sierra Burgess Is a Loser,100
Carbon,Carbone,92
To All the Boys I’ve Loved Before,To All the Boys I've Loved Before,100
The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary & Potato Peel Pie Society,96
Pretty Man,Pretty Woman,91
GODZILLA City on the Edge of Battle,Godzilla: City on the Edge of Battle,99
TAU,Tau,100
Trollhunters,Troll Hunter,92
I Am not an Easy Man,I Am Not an Easy Man,100
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",100
Shot in the Dark,A Shot in the Dark,94
Generation Iron 2,Generation Iron,94
#realityhigh,#RealityHigh,100
Locust,Locusts,92
Love Storm,Love Story,90
BLAME!,Blame!,100
Louis C.K. 2017,Louis C.K.: 2017,97
IBOY,iBoy,100
Bromance,Romance,93
Spanish Affair 2,Spanish Affair,93
DEATH NOTE,Death Note,100
13TH,13th,100
My Little Pony Equestria Girls: Legend of Everfree,My Little Pony: Equestria Girls - Legend of Everfree,98
Someone Like You,Someone Like You...,100
Louis C.K.: Live at the Comedy Store,Louis C.K.: Live at The Comedy Store,100
He Never Died,She Never Died,96
"10,000 B.C.","10,000 BC",95
20 Feet From Stardom,20 Feet from Stardom,100
A Wednesday,A Wednesday!,100
A.X.L.,A-X-L,100
Act of Vengeance,Acts of Vengeance,97
All About Nina,All About Anna,93
American Crime,An American Crime,90
Badland,Badlands,93
Balto 2: Wolf Quest,Balto II: Wolf Quest,92
Balto 3: Wings of Change,Balto III: Wings of Change,92
Barbie Star Light Adventure,Barbie: Star Light Adventure,98
Barbie: The Princess & the Popstar,Barbie: The Princess & The Popstar,100
Beavis and Butt-head Do America,Beavis and Butt-Head Do America,100
Breath,Breathe,92
Casa de mi Padre,Casa De Mi Padre,100
Contract,Contact,93
Don't Look Down,Don't Look Now,90
Dragonheart,DragonHeart,100
Dragonheart: A New Beginning,DragonHeart: A New Beginning,100
"Good Night, and Good Luck","Good Night, and Good Luck.",100
Haven,Heaven,91
Head On,Head-On,100
Highly Strung,High Strung,92
Hoodwinked Too! Hood vs. Evil,Hoodwinked Too! Hood VS. Evil,100
Hostages,Hostage,93
Hurricane Bianca: From Russia With Hate,Hurricane Bianca: From Russia with Hate,100
Khaani,Kahaani,92
Kicking and Screaming,Kicking & Screaming,90
Kung Fu Panda: Holiday,Kung Fu Panda Holiday,98
Little Men,Little Women,91
Lost Girl,Lost Girls,95
Mater,Master,91
Monster High 13 Wishes,Monster High: 13 Wishes,98
Moonwalkers,Moonwalker,95
Namour,Amour,91
Nymphomaniac: Volume II,Nymphomaniac: Vol. II,91
Roots,Robots,91
Rumor Has It,Rumor Has It...,100
Sangam,Sanam,91
Set Up,Setup,91
Silencer,Silence,93
Silent Hill: Revelation,Silent Hill: Revelation 3D,94
Single,Singles,92
Spy Kids 3: Game Over,Spy Kids 3-D: Game Over,95
Strange but True,Strange But True,100
Stranger than Fiction,Stranger Than Fiction,100
Superfly,SuperFly,100
The Boy in the Striped Pajamas,The Boy in the Striped Pyjamas,97
The D Train,The Train,90
The Dreamer,The Dreamers,96
The First Temptation of Christ,The Last Temptation of Christ,92
The Inbetweeners,The Inbetweeners 2,94
The Incredibles 2,The Incredibles,94
The Intent,The Intern,90
The Naked Gun 2 1/2: The Smell of Fear,The Naked Gun 2½: The Smell of Fear,93
The Perfect Day,The Perfect Date,90
The Rat Race,The Great Race,92
The Returned,The Return,91
THE RUM DIARY,The Rum Diary,100
The Taking of Pelham 123,The Taking of Pelham 1 2 3,96
Tremors 6: A Cold Day in Hell,Tremors: A Cold Day in Hell,96
Under The Skin,Under the Skin,100
Waiting,Waiting...,100
Where's the Money,Where's the Money?,100
XXx,xXx,100
XXX: State of the Union,xXx: State of the Union,100
